Fecha;Activos
2024-04-09 00:00:00.000;3404
2024-04-10 00:00:00.000;3408
2024-04-11 00:00:00.000;3410
2024-04-12 00:00:00.000;3408
2024-04-14 00:00:00.000;3408
2024-04-15 00:00:00.000;3409
2024-04-16 00:00:00.000;3405
2024-04-17 00:00:00.000;3406
2024-04-18 00:00:00.000;3409
2024-04-19 00:00:00.000;3407
2024-04-21 00:00:00.000;3407
2024-04-22 00:00:00.000;3406
2024-04-23 00:00:00.000;3405
2024-04-24 00:00:00.000;3402
2024-04-25 00:00:00.000;3401
2024-04-26 00:00:00.000;3386
2024-04-28 00:00:00.000;3386
2024-04-29 00:00:00.000;3387
2024-04-30 00:00:00.000;3385
2024-05-01 00:00:00.000;3385
2024-05-02 00:00:00.000;3388
2024-05-03 00:00:00.000;3386
2024-05-05 00:00:00.000;3386
2024-05-07 00:00:00.000;3388
2024-05-08 00:00:00.000;3388
2024-05-09 00:00:00.000;3393
2024-05-10 00:00:00.000;3394
2024-05-12 00:00:00.000;3394
2024-05-13 00:00:00.000;3394
2024-05-14 00:00:00.000;3394
2024-05-15 00:00:00.000;3400
2024-05-16 00:00:00.000;3398
2024-05-17 00:00:00.000;3396
2024-05-19 00:00:00.000;3396
2024-05-20 00:00:00.000;3396
2024-05-21 00:00:00.000;3398
2024-05-22 00:00:00.000;3397
2024-05-23 00:00:00.000;3397
2024-05-24 00:00:00.000;3397
2024-05-26 00:00:00.000;3397
2024-05-27 00:00:00.000;3389
2024-05-29 00:00:00.000;3360
2024-05-30 00:00:00.000;3359
2024-05-31 00:00:00.000;3359
2024-06-02 00:00:00.000;3359
2024-06-03 00:00:00.000;3363
2024-06-04 00:00:00.000;3365
2024-06-05 00:00:00.000;3367
2024-06-06 00:00:00.000;3375
2024-06-07 00:00:00.000;3381
2024-06-09 00:00:00.000;3381
2024-06-10 00:00:00.000;3382
2024-06-11 00:00:00.000;3382
2024-06-12 00:00:00.000;3380
2024-06-13 00:00:00.000;3380
2024-06-14 00:00:00.000;3378
2024-06-16 00:00:00.000;3378
2024-06-17 00:00:00.000;3386
2024-06-18 00:00:00.000;3387
2024-06-19 00:00:00.000;3389
2024-06-20 00:00:00.000;3385
2024-06-21 00:00:00.000;3385
2024-06-23 00:00:00.000;3385
2024-06-24 00:00:00.000;3361
2024-06-25 00:00:00.000;3361
2024-06-26 00:00:00.000;3363
2024-06-27 00:00:00.000;3363
2024-06-28 00:00:00.000;3361
2024-06-30 00:00:00.000;3361
2024-07-01 00:00:00.000;3360
2024-07-02 00:00:00.000;3363
2024-07-03 00:00:00.000;3361
2024-07-04 00:00:00.000;3361
2024-07-05 00:00:00.000;3364
2024-07-07 00:00:00.000;3364
2024-07-08 00:00:00.000;3366
2024-07-09 00:00:00.000;3373
2024-07-10 00:00:00.000;3374
2024-07-11 00:00:00.000;3373
2024-07-12 00:00:00.000;3372
2024-07-14 00:00:00.000;3372
2024-07-15 00:00:00.000;3371
2024-07-16 00:00:00.000;3370
2024-07-17 00:00:00.000;3369
2024-07-18 00:00:00.000;3369
2024-07-19 00:00:00.000;3364
2024-07-21 00:00:00.000;3364
